Carrier,Flight Time,Typical Flight Time,Time Added
VX,265.91379310344826,263.2421372527473,2.6716558507009722
AA,267.50704225352115,263.2421372527473,4.264905000773865
NK,267.5593220338983,263.2421372527473,4.317184781151013
UA,269.1744966442953,263.2421372527473,5.932359391548005
F9,275.3103448275862,263.2421372527473,12.068207574838937
